"ID","Fall 2021","Spring 2022","Fall 2022","Spring 2023","Fall 2023","Spring 2024","Fall 2024","Spring 2025"
117255,NA,NA,NA,NA,"Cardinal","Cardinal","Cardinal","Cardinal"
231254,"Gold","Gold","Gold","Gold","Campanile",NA,"Campanile",NA
344393,NA,NA,"Cardinal","Gold","Gold","Gold",NA,NA
393383,NA,NA,NA,NA,"Gold","Gold",NA,NA
401435,NA,NA,NA,NA,"Cardinal","Cardinal",NA,NA
468228,NA,NA,"Cardinal","Cardinal",NA,NA,NA,NA
719853,"Cardinal","Cardinal","Bronze","Bronze","50 Meal Blocks",NA,NA,NA
783712,NA,NA,NA,NA,"Cardinal","Cardinal","Cardinal",NA
801798,NA,NA,"Cardinal","Cardinal","Cardinal","Cardinal",NA,NA
883850,"Cyclone","Cyclone","Cardinal",NA,NA,NA,NA,NA
901935,NA,NA,NA,NA,NA,NA,"Cardinal","Cardinal"
951900,"Cardinal",NA,NA,NA,NA,NA,NA,NA
1010715,NA,NA,NA,NA,NA,NA,"Cardinal","Cardinal"
1064796,NA,NA,NA,NA,NA,NA,"Gold",NA
1126222,"105 Flex Block",NA,"105 Flex Block",NA,"100 Meal Blocks",NA,"100 Meal Blocks",NA
1138398,NA,NA,NA,NA,"Cardinal","Cardinal","Campanile","Campanile"
1150221,NA,"Cyclone","Cardinal","Cardinal","Campanile","Cardinal",NA,NA
1174721,NA,NA,"Cardinal","Gold","Campanile","Campanile",NA,NA
1198354,"50 Flex Block","25 Flex Block",NA,NA,NA,NA,NA,NA
1217455,"Cardinal","Cardinal",NA,"Cardinal",NA,NA,NA,NA
1229447,NA,NA,NA,NA,NA,NA,"Cardinal","Cardinal"
1249412,NA,NA,"Cardinal","Cardinal","Campanile","Campanile","50 Meal Blocks",NA
1298478,NA,NA,NA,NA,"Cardinal","Cardinal","Cardinal","Cardinal"
1309537,NA,NA,NA,NA,"Gold","Gold",NA,NA
1331471,NA,NA,"Cyclone","Cyclone",NA,NA,NA,NA
1345519,"105 Flex Block",NA,NA,NA,NA,NA,NA,NA
1348594,NA,NA,"25 Flex Block","50 Flex Block",NA,NA,NA,NA
1352494,"Cardinal","Cardinal","Cyclone","Cyclone",NA,NA,NA,NA
1365569,NA,NA,NA,NA,NA,NA,NA,"50 Meal Blocks"
1391451,"Cardinal","Cardinal",NA,NA,NA,NA,NA,NA
1411598,NA,NA,NA,NA,"Gold","Gold",NA,NA
1484572,NA,NA,"Gold","Gold",NA,NA,NA,NA
1523380,NA,NA,NA,NA,NA,NA,NA,"Cardinal"
1612773,"Bronze","Bronze",NA,NA,NA,NA,NA,NA
1637886,"50 Flex Block",NA,NA,NA,NA,NA,NA,NA
1658837,NA,NA,NA,"Silver",NA,NA,NA,NA
1677824,"Cardinal","Cardinal",NA,NA,NA,NA,NA,NA
1853911,"Cardinal","Cardinal",NA,NA,NA,NA,NA,NA
