"ID","Fall 2021","Spring 2022","Fall 2022","Spring 2023","Fall 2023","Spring 2024","Fall 2024","Spring 2025"
117255,NA,NA,NA,NA,"Friley Hall","Friley Hall","Friley Hall","Friley Hall"
231254,"Geoffroy Hall","Geoffroy Hall","Geoffroy Hall","Geoffroy Hall","Frederiksen Court",NA,"University Village",NA
344393,NA,NA,"Helser Hall","Helser Hall","Helser Hall","Helser Hall",NA,NA
393383,NA,NA,NA,NA,"Geoffroy Hall","Geoffroy Hall",NA,NA
401435,NA,NA,NA,NA,"Maple Hall","Maple Hall",NA,NA
468228,NA,NA,"Larch Hall","Larch Hall",NA,NA,NA,NA
719853,"Eaton Hall","Eaton Hall","Off Campus","Off Campus","Off Campus",NA,NA,NA
783712,NA,NA,NA,NA,"Birch Hall","Birch Hall","Friley Hall",NA
801798,NA,NA,"Elm Hall","Elm Hall","Off Campus","Frederiksen Court",NA,NA
883850,"Geoffroy Hall","Geoffroy Hall","Friley Hall",NA,NA,NA,NA,NA
901935,NA,NA,NA,NA,NA,NA,"Larch Hall","Larch Hall"
951900,"Larch Hall",NA,NA,NA,NA,NA,NA,NA
1010715,NA,NA,NA,NA,NA,NA,"Helser Hall","Helser Hall"
1064796,NA,NA,NA,NA,NA,NA,"Frederiksen Court",NA
1126222,"University Village",NA,"University Village",NA,"Frederiksen Court",NA,"Frederiksen Court",NA
1138398,NA,NA,NA,NA,"Friley Hall","Friley Hall","University Village","University Village"
1150221,NA,"Geoffroy Hall","Maple Hall","Maple Hall","Frederiksen Court","Frederiksen Court",NA,NA
1174721,NA,NA,"Friley Hall","Friley Hall","Buchanan Hall","Buchanan Hall",NA,NA
1198354,"Off Campus","Off Campus",NA,NA,NA,NA,NA,NA
1217455,"Elm Hall","Elm Hall",NA,"Linden Hall",NA,NA,NA,NA
1229447,NA,NA,NA,NA,NA,NA,"Eaton Hall","Eaton Hall"
1249412,NA,NA,"Martin Hall","Martin Hall","Frederiksen Court","Frederiksen Court","Frederiksen Court",NA
1298478,NA,NA,NA,NA,"Geoffroy Hall","Geoffroy Hall","Buchanan Hall","Buchanan Hall"
1309537,NA,NA,NA,NA,"Friley Hall","Friley Hall",NA,NA
1331471,NA,NA,"Willow Hall","Willow Hall",NA,NA,NA,NA
1345519,"Frederiksen Court",NA,NA,NA,NA,NA,NA,NA
1348594,NA,NA,"Off Campus","Off Campus",NA,NA,NA,NA
1352494,"Lyon Hall","Lyon Hall","Lyon Hall","Lyon Hall",NA,NA,NA,NA
1365569,NA,NA,NA,NA,NA,NA,NA,"Off Campus"
1391451,"Friley Hall","Friley Hall",NA,NA,NA,NA,NA,NA
1411598,NA,NA,NA,NA,"Wilson Hall","Wilson Hall",NA,NA
1484572,NA,NA,"Martin Hall","Martin Hall",NA,NA,NA,NA
1523380,NA,NA,NA,NA,NA,NA,NA,"Freeman Hall"
1612773,"Off Campus","Off Campus",NA,NA,NA,NA,NA,NA
1637886,"Off Campus",NA,NA,NA,NA,NA,NA,NA
1658837,NA,NA,NA,"Off Campus",NA,NA,NA,NA
1677824,"Helser Hall","Helser Hall",NA,NA,NA,NA,NA,NA
1853911,"Geoffroy Hall","Geoffroy Hall",NA,NA,NA,NA,NA,NA
1893246,NA,NA,NA,NA,NA,NA,NA,"Geoffroy Hall"
1916091,NA,NA,NA,NA,"Oak Hall","Oak Hall","Off Campus",NA
1925031,NA,NA,"Martin Hall","Martin Hall",NA,NA,NA,NA
1955071,NA,NA,NA,NA,"Willow Hall","Willow Hall","Off Campus","Off Campus"
1982054,NA,NA,NA,NA,"Helser Hall","Off Campus",NA,NA
1999185,"Buchanan Hall","Buchanan Hall","Off Campus",NA,"Off Campus",NA,"Off Campus",NA
2023369,"Willow Hall","Willow Hall",NA,NA,NA,NA,NA,NA
2027359,NA,NA,NA,NA,"Elm Hall","Elm Hall",NA,NA
2029357,NA,NA,"Geoffroy Hall","Geoffroy Hall",NA,NA,NA,NA
2035329,"Schilletter Village","Off Campus",NA,NA,NA,NA,NA,NA
2136973,NA,NA,NA,NA,NA,NA,"Friley Hall","Friley Hall"
