"Spring.2024","Fall.2024","n","Proportions"
"100 Meal Blocks","100 Meal Blocks","46","0.403508771929825"
"100 Meal Blocks","25 Meal Blocks","4","0.0350877192982456"
"100 Meal Blocks","50 Meal Blocks","15","0.131578947368421"
"100 Meal Blocks","Campanile","0","0"
"100 Meal Blocks","Cardinal","0","0"
"100 Meal Blocks","Gold","1","0.0087719298245614"
"100 Meal Blocks",NA,"48","0.421052631578947"
"25 Meal Blocks","100 Meal Blocks","6","0.0271493212669683"
"25 Meal Blocks","25 Meal Blocks","51","0.230769230769231"
"25 Meal Blocks","50 Meal Blocks","19","0.085972850678733"
"25 Meal Blocks","Campanile","0","0"
"25 Meal Blocks","Cardinal","0","0"
"25 Meal Blocks","Gold","0","0"
"25 Meal Blocks",NA,"145","0.656108597285068"
"50 Meal Blocks","100 Meal Blocks","21","0.067741935483871"
"50 Meal Blocks","25 Meal Blocks","21","0.067741935483871"
"50 Meal Blocks","50 Meal Blocks","92","0.296774193548387"
"50 Meal Blocks","Campanile","6","0.0193548387096774"
"50 Meal Blocks","Cardinal","1","0.0032258064516129"
"50 Meal Blocks","Gold","0","0"
"50 Meal Blocks",NA,"169","0.545161290322581"
"Campanile","100 Meal Blocks","64","0.0472673559822747"
"Campanile","25 Meal Blocks","26","0.0192023633677991"
"Campanile","50 Meal Blocks","67","0.0494830132939439"
"Campanile","Campanile","359","0.265140324963072"
"Campanile","Cardinal","21","0.0155096011816839"
"Campanile","Gold","14","0.0103397341211226"
"Campanile",NA,"803","0.593057607090103"
"Cardinal","100 Meal Blocks","141","0.031494304221577"
"Cardinal","25 Meal Blocks","74","0.0165289256198347"
"Cardinal","50 Meal Blocks","155","0.0346213982577619"
"Cardinal","Campanile","481","0.107438016528926"
"Cardinal","Cardinal","896","0.200134018315836"
"Cardinal","Gold","157","0.0350681259772169"
"Cardinal",NA,"2573","0.574715211078847"
"Gold","100 Meal Blocks","32","0.0199875078076202"
"Gold","25 Meal Blocks","43","0.0268582136164897"
"Gold","50 Meal Blocks","57","0.0356027482823235"
"Gold","Campanile","183","0.114303560274828"
"Gold","Cardinal","48","0.0299812617114304"
"Gold","Gold","125","0.0780762023735165"
"Gold",NA,"1113","0.695190505933791"
NA,"100 Meal Blocks","143","0.00775403969200737"
NA,"25 Meal Blocks","162","0.00878429671402234"
NA,"50 Meal Blocks","179","0.00970610562845678"
NA,"Campanile","287","0.015562303437805"
NA,"Cardinal","4728","0.256371326320356"
NA,"Gold","677","0.0367096844160069"
NA,NA,"12266","0.665112243791346"
