Rating,Body,Dining Hall,Date,reviewUrl
5,"Great rotating selection, possibly my favorite dining center on campus.",Conversations Dining,3/28/2019,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNZd00yOWJREAE!2m1!1s0x0:0x85557bc4b60f6131!3m1!1s2@1:CIHM0ogKEICAgICYwM29bQ%7CCgwIvpD15AUQiOPxpAE%7C?hl=en
5,,Conversations Dining,9/19/2021,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUQ2cU5DdjlnRRAB!2m1!1s0x0:0x85557bc4b60f6131!3m1!1s2@1:CIHM0ogKEICAgID6qNCv9gE%7CCgwI4NicigYQoMGFtwM%7C?hl=en
4,,Conversations Dining,10/13/2019,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUMwMS1LU2l3RRAB!2m1!1s0x0:0x85557bc4b60f6131!3m1!1s2@1:CIHM0ogKEICAgIC01-KSiwE%7CCgwIttiN7QUQyJD85QI%7C?hl=en
5,"Two words can express the best item on the secret menu. Not many people know this, but you have to try the alfredo shake. Grab a cup and go up to the pasta place and ask for some alfredo sauce in your cup. Then got to the ice cream place and get two scoops of bunny tracks or scooper hero. The workers might look like they think you're insane, but trust me, they get this requested several times on a good day.",Conversations Dining,6/6/2020,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURjNnU2S21RRRAB!2m1!1s0x0:0x85557bc4b60f6131!3m1!1s2@1:CIHM0ogKEICAgIDc6u6KmQE%7CCgwIoLrs9gUQoO6jqwI%7C?hl=en
5,"Vastly superior dining center to Seasons. The cereal selection is the best selection on campus. Excellent locale if one desires to host a chocolate milk drinking contest. Also has applesauce on a daily basis, should that be your desired source of food consumption.",Conversations Dining,1/26/2022,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURtcHBMaGRBEAE!2m1!1s0x0:0x85557bc4b60f6131!3m1!1s2@1:CIHM0ogKEICAgIDmppLhdA%7CCgwIx-vGjwYQoPn8lwM%7C?hl=en
5,"This is the best place to eat on ISU campus. During the day when food is all you can eat you can have as much fancy coffee that you want. They have spot that serves Starbucks like drinks. The only drinks they don't server are blended ice drinks; which is fine by me. Also, there food selection is great. They have a sandwich of the day that is always delicious. Overall, if it are going to eat on campus eat at conversation. Not everyone can find where it is, but once found you know you will want to go back. Of course this is not the best place in town, far from it; but, this is the best place to eat if living on campus and purchased meal bundles",Conversations Dining,11/17/2015,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNBbko3TnVnRRAB!2m1!1s0x0:0x85557bc4b60f6131!3m1!1s2@1:CIHM0ogKEICAgICAnJ7NugE%7CCgsInu2usgUQgLDjLQ%7C?hl=en
4,,Conversations Dining,2/28/2016,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNRMl96RG13RRAB!2m1!1s0x0:0x85557bc4b60f6131!3m1!1s2@1:CIHM0ogKEICAgICQ2_zDmwE%7CCgsIkrHMtgUQwOPVJQ%7C?hl=en
4,,Conversations Dining,4/20/2017,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNBME42UGxBRRAB!2m1!1s0x0:0x85557bc4b60f6131!3m1!1s2@1:CIHM0ogKEICAgICA0N6PlAE%7CCgsIlYzlxwUQgLGRZA%7C?hl=en
5,,Conversations Dining,9/27/2016,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNnbU5EN293RRAB!2m1!1s0x0:0x85557bc4b60f6131!3m1!1s2@1:CIHM0ogKEICAgICgmND7owE%7CCgsI5pCrvwUQwN3cTQ%7C?hl=en
5,,Conversations Dining,12/11/2016,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURRNHFPdGhnRRAB!2m1!1s0x0:0x85557bc4b60f6131!3m1!1s2@1:CIHM0ogKEICAgIDQ4qOthgE%7CCgwI1Oy1wgUQwPjcxAI%7C?hl=en
