Year,Annual precip mm,Growing season precip mm (1Apr-31Oct),Annual ave. air temp C,Growing season ave. air temp C (1Apr-31Oct),Annual ET mm,Growing season ET mm (1Apr-31Oct)
2009,938.3,719.6,8.4,16.0,1079.3,866.6
2010,1286.5,1106.2,9.3,18.4,1153.3,982.9
2011,750.8,606.8,8.7,16.6,1110.9,937.3
2012,504.2,372.1,11.4,18.3,1414.1,1145.4
2013,745.4,587.1,8.4,17.1,1116.3,964.7
2014,1031.2,878.6,7.9,17.0,,
2015,1044.5,851.7,10.0,17.8,1131.5,919.9
2016,862.6,728.8,10.9,18.6,1177.9,980.2
2017,795.6,612.2,10.5,18.1,1201.8,1006.8
2018,1209.3,949.5,9.1,17.6,1059.4,919.6
2019,940.6,727.5,8.6,17.3,942.3,815.8
2020,546.9,349.7,9.9,17.2,1143.0,963.3
2021,609.9,460.2,10.6,18.8,1082.8,883.5
2022,697.2,507.0,8.9,17.6,1127.6,947.7
