Year,Block,Plot,TRT,Grain yield Mg/ha @ 15.5% moisture,Stover&prairie yield Mg/ha @ 0% moisture,Stover&prairie yield kg/ha @ 0% moisture,Ln biomass Mg ha^-1
2009,1,12,CC,12.53,4.16,4156.7,1.425
2009,1,13,P,,6.11,6106.0,1.809
2009,1,14,CCW,12.69,4.10,4103.7,1.412
2009,1,15,PF,,8.26,8264.0,2.112
2009,2,21,CC,11.54,,,
2009,2,23,PF,,8.99,8994.0,2.197
2009,2,24,P,,6.24,6243.0,1.831
2009,2,25,CCW,13.19,3.67,3674.4,1.301
2009,3,31,P,,7.26,7264.0,1.983
2009,3,32,PF,,9.04,9035.0,2.201
2009,3,35,CC,13.85,3.85,3847.2,1.347
2009,3,36,CCW,13.02,4.23,4234.7,1.443
2009,4,41,PF,,7.97,7974.0,2.076
2009,4,42,CCW,13.19,4.30,4304.4,1.460
2009,4,43,CC,13.02,3.65,3646.5,1.294
2009,4,46,P,,6.75,6750.0,1.910
2010,1,12,CC,9.71,2.76,2758.1,1.015
2010,1,13,P,,7.91,7910.7,2.068
2010,1,14,CCW,9.71,2.82,2819.9,1.037
2010,1,15,PF,,11.50,11496.6,2.442
2010,2,21,CC,9.87,3.03,3031.3,1.109
2010,2,23,PF,,11.45,11450.0,2.438
2010,2,24,P,,7.40,7398.6,2.001
2010,2,25,CCW,9.22,2.72,2716.8,0.999
2010,3,31,P,,7.31,7305.3,1.989
2010,3,32,PF,,11.86,11860.2,2.473
2010,3,35,CC,10.03,3.06,3057.1,1.117
2010,3,36,CCW,10.52,2.98,2984.9,1.094
2010,4,41,PF,,12.10,12102.6,2.493
2010,4,42,CCW,9.54,2.94,2943.6,1.080
2010,4,43,CC,9.71,3.09,3088.0,1.128
2010,4,46,P,,8.28,8280.0,2.114
2011,1,12,CC,9.53,,,
2011,1,13,P,,5.27,5270.4,1.662
2011,1,14,CCW,9.04,2.19,2187.6,0.783
2011,1,15,PF,,6.03,6034.8,1.798
2011,2,21,CC,8.82,2.15,2154.4,0.767
2011,2,23,PF,,6.40,6397.8,1.856
2011,2,24,P,,5.37,5366.5,1.680
2011,2,25,CCW,9.40,2.15,2149.2,0.765
2011,3,31,P,,4.82,4819.5,1.573
2011,3,32,PF,,6.04,6040.5,1.798
2011,3,35,CC,10.18,2.48,2481.9,0.909
2011,3,36,CCW,9.58,2.17,2174.8,0.777
2011,4,41,PF,,6.31,6314.6,1.843
2011,4,42,CCW,9.68,2.25,2251.6,0.812
2011,4,43,CC,10.22,2.57,2571.4,0.944
2011,4,46,P,,5.33,5330.5,1.673
2012,1,12,CC,8.45,,,
2012,1,13,P,,2.46,2462.4,0.901
2012,1,14,CCW,6.05,4.54,4536.0,1.512
2012,1,15,PF,,5.14,5143.9,1.638
2012,2,21,CC,8.86,5.22,5223.1,1.653
2012,2,23,PF,,4.82,4823.1,1.573
2012,2,24,P,,2.71,2710.8,0.997
2012,2,25,CCW,5.22,4.62,4619.8,1.530
2012,3,31,P,,2.79,2789.9,1.026
2012,3,32,PF,,4.80,4802.4,1.569
2012,3,35,CC,9.35,5.78,5782.6,1.755
2012,3,36,CCW,6.15,5.28,5283.8,1.665
2012,4,41,PF,,6.02,6023.7,1.796
2012,4,42,CCW,6.05,4.65,4646.5,1.536
2012,4,43,CC,9.12,5.04,5036.9,1.617
2012,4,46,P,,3.07,3072.3,1.122
2013,1,12,CC,10.41,4.61,4610.0,1.528
2013,1,13,P,,4.06,4058.6,1.401
2013,1,14,CCW,7.70,3.47,3469.9,1.244
2013,1,15,PF,,6.74,6735.5,1.907
