"ID","Meal Plan Description","Term Session Description","Entry Status Description","Room Location Description"
"110030032","Bronze","Spring 2023","History","Off Campus"
"120030036","Gold","Spring 2023","In Room","Geoffroy Hall"
"130080026","Cardinal","Spring 2023","In Room","Helser Hall"
"130050056","Gold","Spring 2023","In Room","Friley Hall"
"140030057","Cardinal","Spring 2023","In Room","Friley Hall"
"150010046","Gold","Spring 2023","In Room","Eaton Hall"
"150090099","Gold","Spring 2023","In Room","Wallace Hall"
"160050079","85 Flex Block","Spring 2023","Application","Off Campus"
"100130161","Bronze","Spring 2023","In Room","Frederiksen Court 24"
"140150175","Gold","Spring 2023","In Room","Welch Hall"
"120460426","Gold","Spring 2023","In Room","Roberts Hall"
"120570563","CA Plan","Spring 2023","In Room","Larch Hall"
"150620580","Cyclone","Spring 2023","In Room","Geoffroy Hall"
"160020573","Cardinal","Spring 2023","In Room","Eaton Hall"
"190750680","Cardinal","Spring 2023","In Room","Helser Hall"
"110790721","Cardinal","Spring 2023","In Room","Friley Hall"
"150840809","Cardinal","Spring 2023","In Room","Buchanan Hall"
"160860868","Cardinal","Spring 2023","In Room","Barton Hall"
"130950956","Silver","Spring 2023","In Room","Birch Hall"
"240030018","Bronze","Spring 2023","History","Off Campus"
"230150188","Cardinal","Spring 2023","In Room","Maple Hall"
"270080900","Cardinal","Spring 2023","In Room","Frederiksen Court 21"
"350110080","Gold","Spring 2023","In Room","Friley Hall"
"380120084","Cardinal","Spring 2023","In Room","Eaton Hall"
"380110090","Cardinal","Spring 2023","In Room","Helser Hall"
"360220100","50 Flex Block","Spring 2023","In Room","Frederiksen Court 72"
"320290213","Silver","Spring 2023","In Room","Frederiksen Court 11"
"390380223","Cardinal","Spring 2023","In Room","Helser Hall"
"370430331","25 Flex Block","Spring 2023","History","Off Campus"
"340600609","Gold","Spring 2023","In Room","Willow Hall"
"320710757","Cardinal","Spring 2023","In Room","Willow Hall"
"330710769","CyFlex","Spring 2023","In Room","Willow Hall"
"340700776","Silver","Spring 2023","History","Off Campus"
"320990986","Bronze","Spring 2023","History","Off Campus"
"330940914","Gold","Spring 2023","In Room","Geoffroy Hall"
"390060953","Gold","Spring 2023","In Room","Friley Hall"
"450200120","Cardinal","Spring 2023","In Room","Friley Hall"
"460240288","Cardinal","Spring 2023","In Room","Willow Hall"
"450500420","Gold","Spring 2023","In Room","Martin Hall"
"430570527","Cardinal","Spring 2023","In Room","Birch Hall"
"440560569","Gold","Spring 2023","In Room","Geoffroy Hall"
"490730600","Cardinal","Spring 2023","In Room","Willow Hall"
"460980801","Gold","Spring 2023","In Room","Geoffroy Hall"
"510170179","50 Flex Block","Spring 2023","In Room","Frederiksen Court 51"
"540330325","Gold","Spring 2023","In Room","Buchanan Hall"
"570420392","Cardinal","Spring 2023","In Room","Frederiksen Court 33"
"500540575","Cardinal","Spring 2023","History","Off Campus"
"510650687","Cardinal","Spring 2023","In Room","Lyon Hall"
"600500545","Silver","Spring 2023","In Room","Frederiksen Court 52"
"630580584","Cardinal","Spring 2023","In Room","Martin Hall"
"670670562","Gold","Spring 2023","In Room","Geoffroy Hall"
"690600500","85 Flex Block","Spring 2023","In Room","University Village 167"
"620860863","Cardinal","Spring 2023","In Room","Geoffroy Hall"
"770060068","Silver","Spring 2023","In Room","Frederiksen Court 33"
"720100197","Bronze","Spring 2023","In Room","Frederiksen Court 82"
"740130158","Silver","Spring 2023","History","Off Campus"
"780460331","Gold","Spring 2023","In Room","Geoffroy Hall"
"720450447","Cardinal","Spring 2023","In Room","Willow Hall"
"730600698","Cardinal","Spring 2023","In Room","Friley Hall"
"760720747","Silver","Spring 2023","In Room","Lyon Hall"
"710860856","Cardinal","Spring 2023","In Room","Geoffroy Hall"
"800000051","Cardinal","Spring 2023","In Room","Frederiksen Court 61"
"800220235","Gold","Spring 2023","In Room","Wallace Hall"
"820280253","Gold","Spring 2023","In Room","Helser Hall"
"890320224","Cardinal","Spring 2023","In Room","Maple Hall"
"800660635","Cardinal","Spring 2023","In Room","Linden Hall"
"840750718","105 Flex Block","Spring 2023","History","Off Campus"
"930170197","Bronze","Spring 2023","History","Off Campus"
"960240161","Cardinal","Spring 2023","In Room","Larch Hall"
"940250279","Cardinal","Spring 2023","In Room","Geoffroy Hall"
"940250279","105 Flex Block","Spring 2023","In Room","Geoffroy Hall"
"990300243","50 Flex Block","Spring 2023","In Room","Frederiksen Court 31"
"950590519","Cardinal","Spring 2023","In Room","Larch Hall"
"990720663","85 Flex Block","Spring 2023","In Room","Frederiksen Court 35"
"940760718","Gold","Spring 2023","In Room","Maple Hall"
"900950943","CA Plan","Spring 2023","In Room","Frederiksen Court 34"
"910960912","Cardinal","Spring 2023","Application","Off Campus"
"960900937","50 Flex Block","Spring 2023","History","Off Campus"
"070181011","Cardinal","Spring 2023","In Room","Martin Hall"
"070251048","Cardinal","Spring 2023","In Room","Geoffroy Hall"
"010101125","Cardinal","Spring 2023","In Room","Birch Hall"
"000231254","Gold","Spring 2023","In Room","Geoffroy Hall"
"080471331","Cardinal","Spring 2023","In Room","Larch Hall"
"080501422","Gold","Spring 2023","In Room","Martin Hall"
"090551423","Cardinal","Spring 2023","In Room","Willow Hall"
"090571443","Cardinal","Spring 2023","In Room","Wallace Hall"
"050661649","Bronze","Spring 2023","In Room","Frederiksen Court 42"
"080761693","Silver","Spring 2023","In Room","Frederiksen Court 52"
"000801798","Cardinal","Spring 2023","In Room","Elm Hall"
"100121100","Cardinal","Spring 2023","In Room","Martin Hall"
"150161189","Gold","Spring Only 2023","In Room","Willow Hall"
"170141198","Cardinal","Spring 2023","In Room","Welch Hall"
"130401423","Bronze","Spring 2023","History","Off Campus"
"180401459","Cardinal","Spring 2023","In Room","Willow Hall"
"110761795","Gold","Spring 2023","In Room","Helser Hall"
"180831742","Gold","Spring 2023","In Room","Oak Hall"
"150071970","Cardinal","Spring 2023","In Room","Maple Hall"
