"ID","Meal.Plan.Description","Term.Session.Description","Room.Location.Description","Price.Year"
100090081,"Campanile","Fall 2024","Frederiksen Court",3928
110030032,"Campanile","Fall 2024","Off Campus",3928
120060005,"Cardinal","Fall 2024","Friley Hall",5108
130020006,"Campanile","Fall 2024","Wallace Hall",3928
160150080,"Cardinal","Fall 2024","Friley Hall",5108
180100094,"100 Meal Blocks","Fall 2024","Off Campus",1287
190130075,"Gold","Fall 2024","Larch Hall",4800
140150175,"Campanile","Fall 2024","Off Campus",3928
170290181,"50 Meal Blocks","Fall 2024","Frederiksen Court",656
150260208,"Cardinal","Fall 2024","Buchanan Hall",5108
170390291,"Gold","Fall 2024","Eaton Hall",4800
170770659,"Cardinal","Fall 2024","Wilson Hall",5108
110760725,"Cardinal","Fall 2024","Martin Hall",5108
160860868,"50 Meal Blocks","Fall 2024","Off Campus",656
160860868,"25 Meal Blocks","Fall 2024","Off Campus",336
170910843,"Cardinal","Fall 2024","Maple Hall",5108
180000912,"Cardinal","Fall 2024","Helser Hall",5108
240190117,"50 Meal Blocks","Fall 2024","Off Campus",656
280320203,"Cardinal","Fall 2024","Off Campus",5108
260600552,"Cardinal","Fall 2024","Welch Hall",5108
210680602,"Cardinal","Fall 2024","Friley Hall",5108
270510891,"Cardinal","Fall 2024","Birch Hall",5108
280080954,"Cardinal","Fall 2024","Frederiksen Court",5108
340090089,"Cardinal","Fall 2024","Maple Hall",5108
350110080,"100 Meal Blocks","Fall 2024","Off Campus",1287
380110090,"50 Meal Blocks","Fall 2024","Off Campus",656
390380223,"100 Meal Blocks","Fall 2024","Frederiksen Court",1287
330400407,"50 Meal Blocks","Fall 2024","Frederiksen Court",656
340500538,"Campanile","Fall 2024","Frederiksen Court",3928
350710631,"Cardinal","Fall 2024","Friley Hall",5108
330710769,"100 Meal Blocks","Fall 2024","Off Campus",1287
470240192,"25 Meal Blocks","Fall 2024","Frederiksen Court",336
460240288,"Campanile","Fall 2024","Off Campus",3928
410410352,"Cardinal","Fall 2024","Birch Hall",5108
440370368,"100 Meal Blocks","Fall 2024","Frederiksen Court",1287
480020977,"Cardinal","Fall 2024","Linden Hall",5108
560360231,"Cardinal","Fall 2024","Barton Hall",5108
600050051,"Cardinal","Fall 2024","Friley Hall",5108
690510465,"Cardinal","Fall 2024","Friley Hall",5108
610560562,"Cardinal","Fall 2024","Linden Hall",5108
650790680,"Gold","Fall 2024","Maple Hall",4800
620860863,"Cardinal","Fall 2024","Off Campus",5108
610920922,"25 Meal Blocks","Fall 2024","Off Campus",336
610920977,"Cardinal","Fall 2024","Friley Hall",5108
730020028,"Cardinal","Fall 2024","Larch Hall",5108
730080046,"Campanile","Fall 2024","Frederiksen Court",3928
740070039,"100 Meal Blocks","Fall 2024","Off Campus",1287
760050027,"Gold","Fall 2024","Helser Hall",4800
770060068,"Campanile","Fall 2024","Frederiksen Court",3928
700150105,"Campanile","Fall 2024","Off Campus",3928
740130158,"Campanile","Fall 2024","Off Campus",3928
740160169,"Cardinal","Fall 2024","Helser Hall",5108
710410422,"25 Meal Blocks","Fall 2024","Off Campus",336
